#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   9600      2.65e+00    2.50e+00      5.95e-02    2.57e-02      1.18e-01    1.12e-01    1.0e-03
   9700      3.19e+00    2.16e+00      3.36e-02    4.96e-02      1.42e-01    9.62e-02    1.0e-03
   9800      3.67e+00    3.37e+00      1.95e-01    2.19e-01      1.60e-01    1.47e-01    1.0e-03
   9900      2.66e+00    2.68e+00      1.82e-01    4.65e-02      1.16e-01    1.20e-01    1.0e-03
  10000      3.80e+00    2.51e+00      5.73e-02    1.01e-01      1.70e-01    1.11e-01    1.0e-03
  10100      2.41e+00    2.01e+00      3.97e-02    2.81e-03      1.07e-01    8.97e-02    1.0e-03
  10200      2.82e+00    2.21e+00      7.31e-02    7.28e-02      1.26e-01    9.82e-02    1.0e-03
  10300      2.75e+00    3.09e+00      6.17e-02    6.46e-02      1.23e-01    1.37e-01    1.0e-03
  10400      3.51e+00    2.08e+00      4.72e-02    1.11e-01      1.56e-01    9.12e-02    1.0e-03
  10500      3.01e+00    2.95e+00      1.49e-01    1.53e-01      1.29e-01    1.30e-01    1.0e-03
  10600      2.28e+00    2.63e+00      2.12e-01    1.06e-01      9.67e-02    1.16e-01    1.0e-03
  10700      4.29e+00    2.10e+00      4.78e-02    2.34e-02      1.91e-01    9.39e-02    1.0e-03
  10800      3.82e+00    2.16e+00      1.36e-01    2.68e-02      1.70e-01    9.65e-02    1.0e-03
  10900      3.28e+00    2.81e+00      9.94e-02    5.86e-02      1.46e-01    1.25e-01    1.0e-03
  11000      3.47e+00    3.79e+00      6.50e-02    5.75e-03      1.55e-01    1.69e-01    1.0e-03
  11100      3.21e+00    3.67e+00      1.27e-01    2.57e-02      1.41e-01    1.64e-01    1.0e-03
  11200      4.04e+00    2.37e+00      2.36e-02    1.08e-01      1.81e-01    1.05e-01    1.0e-03
  11300      3.07e+00    2.72e+00      8.06e-02    1.09e-01      1.36e-01    1.20e-01    1.0e-03
  11400      2.87e+00    2.34e+00      9.32e-02    5.41e-02      1.28e-01    1.04e-01    1.0e-03
  11500      2.88e+00    3.08e+00      3.71e-02    1.05e-01      1.29e-01    1.37e-01    1.0e-03
  11600      3.36e+00    2.69e+00      9.29e-02    1.07e-01      1.49e-01    1.19e-01    1.0e-03
  11700      2.53e+00    4.91e+00      7.22e-02    1.09e-02      1.12e-01    2.20e-01    1.0e-03
  11800      3.59e+00    2.50e+00      5.61e-02    3.01e-02      1.60e-01    1.12e-01    1.0e-03
  11900      3.47e+00    2.70e+00      7.95e-02    1.67e-02      1.54e-01    1.21e-01    1.0e-03
  12000      2.95e+00    3.57e+00      2.90e-02    2.08e-02      1.32e-01    1.60e-01    1.0e-03
  12100      2.79e+00    2.19e+00      1.13e-01    2.16e-01      1.23e-01    9.17e-02    1.0e-03
  12200      2.44e+00    3.44e+00      1.49e-01    3.83e-02      1.07e-01    1.54e-01    1.0e-03
  12300      3.77e+00    3.05e+00      1.02e-01    2.42e-01      1.68e-01    1.34e-01    1.0e-03
  12400      2.84e+00    2.52e+00      8.15e-02    1.00e-01      1.26e-01    1.12e-01    1.0e-03
  12500      2.70e+00    2.80e+00      1.68e-01    3.13e-02      1.18e-01    1.25e-01    1.0e-03
  12600      3.30e+00    3.34e+00      1.06e-01    5.34e-02      1.47e-01    1.49e-01    1.0e-03
  12700      2.61e+00    2.56e+00      6.85e-02    7.48e-02      1.16e-01    1.14e-01    1.0e-03
  12800      3.97e+00    4.25e+00      1.09e-01    3.92e-02      1.76e-01    1.90e-01    1.0e-03
  12900      3.95e+00    3.59e+00      5.90e-02    4.49e-02      1.76e-01    1.60e-01    1.0e-03
  13000      2.89e+00    3.43e+00      1.52e-01    1.07e-01      1.27e-01    1.52e-01    1.0e-03
  13100      2.51e+00    2.22e+00      8.56e-02    1.89e-01      1.11e-01    9.47e-02    1.0e-03
  13200      3.26e+00    2.60e+00      3.10e-03    4.41e-03      1.46e-01    1.16e-01    1.0e-03
  13300      3.60e+00    2.49e+00      1.30e-01    1.56e-01      1.60e-01    1.09e-01    1.0e-03
  13400      2.59e+00    2.45e+00      1.52e-01    3.85e-02      1.14e-01    1.09e-01    1.0e-03
  13500      3.95e+00    3.68e+00      7.87e-02    4.04e-02      1.76e-01    1.64e-01    1.0e-03
  13600      3.58e+00    3.14e+00      9.87e-02    4.70e-02      1.59e-01    1.40e-01    1.0e-03
  13700      3.07e+00    2.88e+00      2.16e-01    9.07e-03      1.29e-01    1.29e-01    1.0e-03
  13800      2.88e+00    2.68e+00      7.82e-02    5.41e-02      1.28e-01    1.19e-01    1.0e-03
  13900      3.71e+00    3.70e+00      1.58e-01    6.36e-02      1.63e-01    1.66e-01    1.0e-03
  14000      3.60e+00    2.60e+00      8.71e-02    1.24e-01      1.60e-01    1.15e-01    1.0e-03
  14100      2.82e+00    4.32e+00      7.38e-02    4.52e-03      1.25e-01    1.93e-01    1.0e-03
  14200      2.91e+00    2.85e+00      1.80e-01    2.31e-02      1.25e-01    1.27e-01    1.0e-03
  14300      3.25e+00    4.44e+00      7.08e-02    5.34e-02      1.45e-01    1.98e-01    1.0e-03
  14400      2.57e+00    2.76e+00      8.25e-02    1.83e-01      1.14e-01    1.18e-01    1.0e-03
  14500      3.57e+00    3.63e+00      4.82e-02    1.03e-01      1.60e-01    1.62e-01    1.0e-03
  14600      2.41e+00    3.79e+00      1.49e-02    2.24e-01      1.08e-01    1.67e-01    1.0e-03
  14700      2.27e+00    2.56e+00      9.08e-02    1.17e-01      1.01e-01    1.13e-01    1.0e-03
  14800      3.06e+00    2.76e+00      7.56e-02    1.75e-01      1.36e-01    1.22e-01    1.0e-03
  14900      3.08e+00    2.80e+00      4.51e-02    5.48e-02      1.38e-01    1.25e-01    1.0e-03
  15000      4.29e+00    4.13e+00      8.39e-02    5.83e-03      1.91e-01    1.85e-01    1.0e-03
  15100      2.98e+00    2.45e+00      7.50e-02    2.44e-02      1.33e-01    1.09e-01    1.0e-03
  15200      3.35e+00    3.23e+00      8.40e-02    3.09e-02      1.49e-01    1.45e-01    1.0e-03
  15300      3.45e+00    3.02e+00      7.00e-02    9.33e-03      1.54e-01    1.35e-01    1.0e-03
  15400      3.68e+00    4.07e+00      1.11e-01    3.02e-01      1.64e-01    1.79e-01    1.0e-03
  15500      4.16e+00    2.14e+00      5.73e-02    1.40e-02      1.86e-01    9.58e-02    1.0e-03
  15600      3.61e+00    1.86e+00      1.42e-02    2.20e-02      1.61e-01    8.29e-02    1.0e-03
  15700      3.16e+00    3.57e+00      1.65e-01    6.88e-02      1.37e-01    1.59e-01    1.0e-03
  15800      2.45e+00    2.38e+00      1.61e-01    6.44e-02      1.06e-01    1.06e-01    1.0e-03
  15900      3.15e+00    2.38e+00      7.58e-02    5.41e-02      1.41e-01    1.06e-01    1.0e-03
  16000      3.12e+00    3.21e+00      6.60e-02    2.35e-01      1.39e-01    1.41e-01    1.0e-03
  16100      2.87e+00    2.64e+00      1.71e-01    1.42e-02      1.26e-01    1.18e-01    1.0e-03
  16200      3.20e+00    2.38e+00      1.38e-01    1.28e-01      1.42e-01    1.03e-01    1.0e-03
  16300      3.44e+00    3.93e+00      8.14e-02    8.15e-02      1.53e-01    1.75e-01    1.0e-03
  16400      2.71e+00    2.25e+00      1.17e-01    2.04e-02      1.20e-01    1.01e-01    1.0e-03
  16500      5.85e+00    4.50e+00      4.58e-02    7.26e-02      2.61e-01    2.01e-01    1.0e-03
  16600      3.35e+00    3.25e+00      1.09e-01    6.76e-02      1.49e-01    1.45e-01    1.0e-03
  16700      2.81e+00    1.93e+00      3.66e-02    1.33e-03      1.25e-01    8.65e-02    1.0e-03
  16800      2.48e+00    2.56e+00      9.46e-02    1.15e-02      1.10e-01    1.14e-01    1.0e-03
  16900      3.42e+00    2.24e+00      6.81e-02    8.97e-02      1.52e-01    9.90e-02    1.0e-03
  17000      2.68e+00    3.56e+00      3.91e-02    4.88e-02      1.20e-01    1.59e-01    1.0e-03
  17100      2.49e+00    2.80e+00      1.23e-01    3.68e-02      1.09e-01    1.25e-01    1.0e-03
  17200      3.45e+00    2.81e+00      7.31e-02    3.95e-04      1.54e-01    1.26e-01    1.0e-03
  17300      3.54e+00    3.27e+00      1.31e-01    1.26e-01      1.56e-01    1.45e-01    1.0e-03
  17400      2.52e+00    2.23e+00      6.70e-02    9.72e-02      1.12e-01    9.87e-02    1.0e-03
  17500      2.73e+00    2.95e+00      7.43e-02    1.24e-01      1.21e-01    1.31e-01    1.0e-03
  17600      3.02e+00    3.60e+00      5.31e-02    2.45e-02      1.35e-01    1.61e-01    1.0e-03
  17700      2.30e+00    2.00e+00      5.96e-02    3.33e-02      1.02e-01    8.95e-02    1.0e-03
  17800      2.25e+00    2.02e+00      5.95e-02    8.70e-02      1.00e-01    8.95e-02    1.0e-03
  17900      3.72e+00    2.54e+00      4.45e-02    7.38e-02      1.66e-01    1.13e-01    1.0e-03
  18000      3.69e+00    3.76e+00      1.13e-01    1.86e-01      1.64e-01    1.65e-01    1.0e-03
  18100      2.73e+00    2.73e+00      8.98e-02    1.78e-01      1.21e-01    1.20e-01    1.0e-03
  18200      2.35e+00    4.91e+00      3.39e-02    9.65e-02      1.05e-01    2.19e-01    1.0e-03
  18300      2.85e+00    1.80e+00      1.01e-01    4.97e-02      1.26e-01    8.00e-02    1.0e-03
  18400      3.55e+00    2.86e+00      5.43e-02    7.15e-02      1.59e-01    1.28e-01    1.0e-03
