#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   8000      3.38e+00    3.04e+00      6.59e-02    9.36e-02      1.50e-01    1.35e-01    1.0e-03
   8100      2.73e+00    2.08e+00      6.94e-02    4.20e-02      1.22e-01    9.28e-02    1.0e-03
   8200      2.19e+00    3.05e+00      7.37e-02    2.62e-01      9.72e-02    1.33e-01    1.0e-03
   8300      2.54e+00    3.71e+00      6.78e-02    1.59e-01      1.13e-01    1.63e-01    1.0e-03
   8400      2.69e+00    2.65e+00      1.27e-01    6.69e-02      1.19e-01    1.18e-01    1.0e-03
   8500      2.57e+00    2.22e+00      6.38e-02    7.60e-02      1.14e-01    9.84e-02    1.0e-03
   8600      2.49e+00    2.66e+00      8.20e-02    1.38e-02      1.11e-01    1.19e-01    1.0e-03
   8700      2.44e+00    2.81e+00      1.89e-02    2.90e-02      1.09e-01    1.25e-01    1.0e-03
   8800      7.28e+00    7.97e+00      6.46e-02    6.08e-02      3.25e-01    3.56e-01    1.0e-03
   8900      3.55e+00    3.33e+00      9.61e-02    1.60e-02      1.58e-01    1.49e-01    1.0e-03
   9000      2.66e+00    2.96e+00      1.39e-01    3.94e-01      1.16e-01    1.25e-01    1.0e-03
   9100      2.37e+00    2.32e+00      7.29e-02    1.02e-01      1.05e-01    1.03e-01    1.0e-03
   9200      3.09e+00    2.25e+00      9.33e-02    5.99e-02      1.38e-01    1.00e-01    1.0e-03
   9300      2.62e+00    3.35e+00      1.35e-01    2.29e-01      1.16e-01    1.48e-01    1.0e-03
   9400      2.48e+00    2.12e+00      1.33e-02    1.26e-01      1.11e-01    9.29e-02    1.0e-03
   9500      2.13e+00    2.11e+00      5.08e-02    3.96e-02      9.50e-02    9.41e-02    1.0e-03
   9600      2.98e+00    2.51e+00      1.08e-01    2.06e-01      1.32e-01    1.08e-01    1.0e-03
   9700      3.70e+00    3.45e+00      7.56e-02    1.25e-01      1.64e-01    1.53e-01    1.0e-03
   9800      3.30e+00    2.54e+00      1.26e-02    7.34e-02      1.48e-01    1.13e-01    1.0e-03
   9900      2.46e+00    2.33e+00      6.90e-02    2.26e-02      1.09e-01    1.04e-01    1.0e-03
  10000      3.46e+00    3.76e+00      8.68e-02    1.32e-01      1.54e-01    1.67e-01    1.0e-03
  10100      2.73e+00    2.99e+00      5.32e-02    1.87e-01      1.22e-01    1.31e-01    1.0e-03
  10200      2.63e+00    2.36e+00      3.00e-02    1.12e-01      1.17e-01    1.04e-01    1.0e-03
  10300      2.47e+00    3.73e+00      1.06e-01    1.06e-01      1.08e-01    1.66e-01    1.0e-03
  10400      2.80e+00    3.45e+00      9.32e-02    2.98e-02      1.23e-01    1.54e-01    1.0e-03
  10500      3.44e+00    2.84e+00      7.18e-02    1.12e-04      1.53e-01    1.27e-01    1.0e-03
  10600      2.77e+00    2.41e+00      5.89e-02    1.28e-01      1.24e-01    1.07e-01    1.0e-03
  10700      2.68e+00    3.25e+00      1.83e-01    1.10e-01      1.18e-01    1.44e-01    1.0e-03
  10800      2.11e+00    2.06e+00      4.34e-02    7.67e-02      9.40e-02    9.12e-02    1.0e-03
  10900      2.91e+00    3.34e+00      1.01e-01    3.34e-02      1.28e-01    1.49e-01    1.0e-03
  11000      2.73e+00    3.28e+00      1.01e-01    2.10e-01      1.21e-01    1.45e-01    1.0e-03
  11100      2.23e+00    4.55e+00      1.04e-01    1.19e-01      9.80e-02    2.03e-01    1.0e-03
  11200      2.55e+00    2.65e+00      5.93e-02    2.31e-01      1.13e-01    1.16e-01    1.0e-03
  11300      2.43e+00    2.74e+00      5.90e-02    1.89e-01      1.08e-01    1.19e-01    1.0e-03
  11400      2.93e+00    2.94e+00      1.22e-01    1.93e-01      1.29e-01    1.30e-01    1.0e-03
  11500      2.61e+00    2.17e+00      3.32e-02    6.41e-02      1.16e-01    9.64e-02    1.0e-03
  11600      2.93e+00    2.27e+00      1.29e-01    1.11e-01      1.29e-01    1.00e-01    1.0e-03
  11700      2.23e+00    2.87e+00      5.03e-02    6.02e-02      9.94e-02    1.28e-01    1.0e-03
  11800      2.85e+00    2.08e+00      9.77e-02    5.47e-02      1.26e-01    9.24e-02    1.0e-03
  11900      3.01e+00    2.25e+00      5.52e-02    3.98e-03      1.34e-01    1.01e-01    1.0e-03
  12000      2.37e+00    1.95e+00      2.24e-01    1.40e-01      9.99e-02    8.46e-02    1.0e-03
  12100      3.30e+00    2.41e+00      7.65e-02    3.97e-02      1.47e-01    1.08e-01    1.0e-03
